title,color,x,y,size,line
BL,#184E96,607,110,5,1
BL,#184E96,583,134,5,1
BL,#184E96,552,164,5,1
BL,#184E96,518,198,10,1
BL,#184E96,475,241,5,1
BL,#184E96,440,279,5,1
BL,#184E96,400,315,13,1
BL,#184E96,369,289,5,1
BL,#184E96,348,272,5,1
OL,#EEA445,392,80,5,2
OL,#EEA445,393,105,5,2
OL,#EEA445,394,126,5,2
OL,#EEA445,395,147,10,2
OL,#EEA445,396,170,5,2
OL,#EEA445,397,239,5,2
OL,#EEA445,397,261,5,2
OL,#EEA445,400,315,13,2
OL,#EEA445,370,347,13,2
OL,#EEA445,342,375,5,2
OL,#EEA445,308,410,5,2
OL,#EEA445,275,445,5,2
OL,#EEA445,245,476,10,2
OL,#EEA445,214,509,5,2
OL,#EEA445,189,535,10,2
OL,#EEA445,160,564,5,2
OL,#EEA445,134,592,5,2
RL,#C94243,140,117,5,3
RL,#C94243,164,141,5,3
RL,#C94243,199,177,10,3
RL,#C94243,231,209,5,3
RL,#C94243,260,237,5,3
RL,#C94243,290,266,5,3
RL,#C94243,319,296,5,3
RL,#C94243,342,318,13,3
RL,#C94243,370,347,13,3
RL,#C94243,414,391,5,3
RL,#C94243,424,438,5,3
RL,#C94243,425,469,10,3
RL,#C94243,425,492,5,3
RL,#C94243,425,539,0,3
RL,#C94243,397,590,5,3
RL,#C94243,397,608,5,3
RL,#C94243,397,625,5,3
RL,#C94243,425,539,0,4
RL,#C94243,492,611,10,4
RL,#C94243,506,627,5,4
RL,#C94243,523,646,5,4
RL,#C94243,533,664,5,4
RL,#C94243,533,689,5,4
GL,#3B7E46,257,98,5,5
GL,#3B7E46,272,114,5,5
GL,#3B7E46,290,132,5,5
GL,#3B7E46,307,150,10,5
GL,#3B7E46,327,170,5,5
GL,#3B7E46,362,205,5,5
GL,#3B7E46,375,221,5,5
GL,#3B7E46,382,239,5,5
GL,#3B7E46,382,261,5,5
GL,#3B7E46,369,289,5,5
GL,#3B7E46,342,318,13,5
GL,#3B7E46,297,349,10,5
GL,#3B7E46,260,349,5,5
GL,#3B7E46,228,349,5,5
GL,#3B7E46,194,349,5,5
GL,#3B7E46,169,349,13,5
GL,#3B7E46,142,345,5,5
GL,#3B7E46,122,332,10,5
GL,#3B7E46,101,317,5,5
GL,#3B7E46,85,330,5,5
GL,#3B7E46,69,342,5,5
GL,#3B7E46,362,205,5,6
GL,#3B7E46,321,197,5,6
GL,#3B7E46,228,349,5,7
GL,#3B7E46,221,367,5,7
GL,#3B7E46,222,394,10,7
GL,#3B7E46,216,416,5,7
GL,#3B7E46,201,433,5,7
GL,#3B7E46,169,349,5,8
GL,#3B7E46,146,324,5,8
GL,#3B7E46,121,301,5,8
GL,#3B7E46,169,349,13,9
GL,#3B7E46,143,380,5,9
GL,#3B7E46,126,398,5,9
WL,#ffffff,397,239,5,10
WL,#ffffff,382,239,5,10
WL,#ffffff,397,261,5,11
WL,#ffffff,382,261,5,11
